Search Date,Airline,Flight Number,Source City,Departure Time,Number of Stops,Arrival Time,Destination City,Duration (Minutes),Price
2024-04-29,Scandinavian Airlines,2490,Århus,2024-04-29T16:15:00,1,2024-04-29T19:55:00,London,280,kr. 1.078
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,1,2024-04-29T19:30:00,London,290,kr. 1.146
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,2,2024-04-29T21:35:00,London,415,kr. 1.310
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,1,2024-04-29T18:20:00,London,220,kr. 2.247
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,1,2024-04-29T18:25:00,London,225,kr. 2.201
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,2,2024-04-29T21:20:00,London,400,kr. 2.056
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,1,2024-04-29T19:55:00,London,315,kr. 2.209
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,2,2024-04-29T20:55:00,London,375,kr. 2.462
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,1,2024-04-29T19:15:00,London,275,kr. 3.654
2024-04-29,Scandinavian Airlines,1258,Århus,2024-04-29T15:40:00,2,2024-04-29T21:15:00,London,395,kr. 2.590
2024-04-30,Ryanair,713,Århus,2024-04-30T10:20:00,0,2024-04-30T11:05:00,London,105,kr. 99
2024-04-30,Scandinavian Airlines,1926,Århus,2024-04-30T18:10:00,1,2024-04-30T21:35:00,London,265,kr. 1.235
2024-04-30,Scandinavian Airlines,2490,Århus,2024-04-30T16:15:00,1,2024-04-30T19:55:00,London,280,kr. 1.260
2024-04-30,Scandinavian Airlines,1240,Århus,2024-04-30T06:30:00,1,2024-04-30T08:55:00,London,205,kr. 1.823
2024-04-30,Scandinavian Airlines,1258,Århus,2024-04-30T15:40:00,1,2024-04-30T19:30:00,London,290,kr. 1.327
2024-04-30,Scandinavian Airlines,1258,Århus,2024-04-30T15:40:00,1,2024-04-30T18:20:00,London,220,kr. 1.896
2024-04-30,Scandinavian Airlines,1248,Århus,2024-04-30T10:30:00,1,2024-04-30T16:00:00,London,390,kr. 1.823
2024-04-30,Scandinavian Airlines,1258,Århus,2024-04-30T15:40:00,2,2024-04-30T21:20:00,London,400,kr. 3.106
2024-04-30,Scandinavian Airlines,1258,Århus,2024-04-30T15:40:00,2,2024-04-30T21:35:00,London,415,kr. 3.080
2024-04-30,Scandinavian Airlines,1248,Århus,2024-04-30T10:30:00,1,2024-04-30T14:50:00,London,320,kr. 1.896
2024-05-01,Ryanair,713,Århus,2024-05-01T10:00:00,0,2024-05-01T10:45:00,London,105,kr. 114
2024-05-01,Scandinavian Airlines,1260,Århus,2024-05-01T18:10:00,1,2024-05-01T21:40:00,London,270,kr. 1.950
2024-05-01,Scandinavian Airlines,1258,Århus,2024-05-01T15:40:00,1,2024-05-01T19:30:00,London,290,kr. 1.950
2024-05-01,Scandinavian Airlines,1240,Århus,2024-05-01T06:30:00,1,2024-05-01T08:55:00,London,205,kr. 3.002
2024-05-01,Scandinavian Airlines,1258,Århus,2024-05-01T15:40:00,2,2024-05-01T21:20:00,London,400,kr. 2.171
2024-05-01,Scandinavian Airlines,1258,Århus,2024-05-01T15:40:00,1,2024-05-01T18:20:00,London,220,kr. 2.184
2024-05-01,Scandinavian Airlines,1258,Århus,2024-05-01T15:40:00,2,2024-05-01T21:35:00,London,415,kr. 2.144
2024-05-01,SWISS,4743,Århus,2024-05-01T15:40:00,2,2024-05-01T21:45:00,London,425,kr. 4.227
2024-05-01,Austrian Airlines,7516,Århus,2024-05-01T15:40:00,2,2024-05-01T21:40:00,London,420,kr. 4.175
2024-05-01,Lufthansa,6113,Århus,2024-05-01T15:40:00,2,2024-05-01T22:10:00,London,450,kr. 4.445
2024-05-02,Ryanair,713,Århus,2024-05-02T15:10:00,0,2024-05-02T15:55:00,London,105,kr. 130
2024-05-02,Scandinavian Airlines,2490,Århus,2024-05-02T16:15:00,1,2024-05-02T19:55:00,London,280,kr. 677
2024-05-02,Scandinavian Airlines,1240,Århus,2024-05-02T06:30:00,1,2024-05-02T08:55:00,London,205,kr. 1.048
2024-05-02,Scandinavian Airlines,1258,Århus,2024-05-02T15:40:00,1,2024-05-02T19:30:00,London,290,kr. 745
2024-05-02,Scandinavian Airlines,1926,Århus,2024-05-02T18:10:00,1,2024-05-02T21:35:00,London,265,kr. 954
2024-05-02,Scandinavian Airlines,1258,Århus,2024-05-02T15:40:00,2,2024-05-02T21:20:00,London,400,kr. 845
2024-05-02,Scandinavian Airlines,1248,Århus,2024-05-02T10:30:00,1,2024-05-02T16:00:00,London,390,kr. 1.048
2024-05-02,Scandinavian Airlines,1244,Århus,2024-05-02T09:15:00,1,2024-05-02T16:00:00,London,465,kr. 1.048
2024-05-02,Scandinavian Airlines,1248,Århus,2024-05-02T10:30:00,2,2024-05-02T16:25:00,London,415,kr. 1.328
2024-05-02,Scandinavian Airlines,1924,Århus,2024-05-02T06:50:00,1,2024-05-02T14:35:00,London,525,kr. 954
2024-05-03,Scandinavian Airlines,1248,Århus,2024-05-03T12:55:00,1,2024-05-03T16:00:00,London,245,kr. 737
2024-05-03,Scandinavian Airlines,2490,Århus,2024-05-03T16:15:00,1,2024-05-03T19:55:00,London,280,kr. 668
2024-05-03,Scandinavian Airlines,1258,Århus,2024-05-03T15:40:00,1,2024-05-03T19:30:00,London,290,kr. 737
2024-05-03,Scandinavian Airlines,1240,Århus,2024-05-03T06:30:00,1,2024-05-03T08:55:00,London,205,kr. 1.167
2024-05-03,Scandinavian Airlines,1258,Århus,2024-05-03T15:40:00,2,2024-05-03T21:20:00,London,400,kr. 837
