Search Date,Airline,Flight Number,Source City,Departure Time,Number of Stops,Arrival Time,Destination City,Duration (Minutes),Price
2024-04-29,Norwegian Air Sweden,3516,København,2024-04-29T13:55:00,0,2024-04-29T14:50:00,London,115,kr. 635
2024-04-29,Norwegian Air Sweden,3518,København,2024-04-29T17:25:00,0,2024-04-29T18:20:00,London,115,kr. 677
2024-04-29,Norwegian Air Sweden,3520,København,2024-04-29T19:00:00,0,2024-04-29T19:55:00,London,115,kr. 635
2024-04-29,easyJet,8722,København,2024-04-29T17:20:00,0,2024-04-29T18:25:00,London,125,kr. 679
2024-04-29,Ryanair,7381,København,2024-04-29T13:55:00,0,2024-04-29T14:45:00,London,110,kr. 739
2024-04-29,Ryanair,7383,København,2024-04-29T23:00:00,0,2024-04-29T23:50:00,London,110,kr. 539
2024-04-29,British Airways,817,København,2024-04-29T16:35:00,0,2024-04-29T17:35:00,London,120,kr. 1.858
2024-04-29,British Airways,819,København,2024-04-29T18:15:00,0,2024-04-29T19:15:00,London,120,kr. 1.858
2024-04-29,British Airways,821,København,2024-04-29T21:20:00,0,2024-04-29T22:20:00,London,120,kr. 1.858
2024-04-29,British Airways,815,København,2024-04-29T13:55:00,0,2024-04-29T14:55:00,London,120,kr. 2.202
2024-04-29,Scandinavian Airlines,1517,København,2024-04-29T16:40:00,0,2024-04-29T17:40:00,London,120,kr. 2.159
2024-04-29,Scandinavian Airlines,1507,København,2024-04-29T18:30:00,0,2024-04-29T19:30:00,London,120,kr. 2.630
2024-04-29,Scandinavian Airlines,505,København,2024-04-29T15:00:00,0,2024-04-29T16:00:00,London,120,kr. 3.578
2024-04-29,Norwegian,971,København,2024-04-29T17:40:00,1,2024-04-29T20:35:00,London,235,kr. 1.710
2024-04-29,Brussels Airlines,2260,København,2024-04-29T18:10:00,1,2024-04-29T20:55:00,London,225,kr. 3.451
2024-04-29,Air France,1851,København,2024-04-29T15:50:00,1,2024-04-29T21:25:00,London,395,kr. 1.627
2024-04-29,Norwegian Air Sweden,3638,København,2024-04-29T19:05:00,1,2024-04-29T23:10:00,London,305,kr. 1.427
2024-04-29,easyJet,1956,København,2024-04-29T17:30:00,1,2024-04-29T22:10:00,London,340,kr. 1.655
2024-04-29,Scandinavian Airlines,1408,København,2024-04-29T17:05:00,1,2024-04-29T21:20:00,London,315,kr. 2.364
2024-04-29,Scandinavian Airlines,1468,København,2024-04-29T17:05:00,1,2024-04-29T21:35:00,London,330,kr. 2.342
2024-04-29,Norwegian Air Sweden,3302,København,2024-04-29T15:45:00,1,2024-04-29T19:15:00,London,270,kr. 2.084
2024-04-29,Vueling Airlines,1873,København,2024-04-29T21:30:00,1,2024-04-30T08:55:00,London,745,kr. 884
2024-04-29,Norwegian Air Sweden,3230,København,2024-04-29T17:00:00,1,2024-04-29T20:10:00,London,250,kr. 2.426
2024-04-29,Norwegian Air Sweden,3646,København,2024-04-29T18:40:00,1,2024-04-29T23:25:00,London,345,kr. 1.966
2024-04-29,transavia,4319,København,2024-04-29T19:45:00,1,2024-04-30T07:00:00,London,735,kr. 954
2024-04-29,Finnair,954,København,2024-04-29T13:15:00,1,2024-04-29T20:40:00,London,505,kr. 1.575
2024-04-29,Norwegian,969,København,2024-04-29T16:40:00,1,2024-04-29T20:20:00,London,280,kr. 2.861
2024-04-29,Lufthansa,831,København,2024-04-29T19:10:00,1,2024-04-29T22:10:00,London,240,kr. 3.513
2024-04-29,Lufthansa,2449,København,2024-04-29T17:05:00,1,2024-04-29T20:45:00,London,280,kr. 3.461
2024-04-29,Lufthansa,6265,København,2024-04-29T13:15:00,1,2024-04-29T16:25:00,London,250,kr. 3.958
2024-04-29,Lufthansa,6265,København,2024-04-29T13:15:00,1,2024-04-29T16:40:00,London,265,kr. 3.817
2024-04-29,Lufthansa,6257,København,2024-04-29T16:05:00,1,2024-04-29T19:40:00,London,275,kr. 3.681
2024-04-29,Austrian Airlines,304,København,2024-04-29T17:40:00,1,2024-04-29T21:40:00,London,300,kr. 3.465
2024-04-29,SWISS,4705,København,2024-04-29T18:00:00,1,2024-04-29T21:45:00,London,285,kr. 3.669
2024-04-29,LOT,462,København,2024-04-29T19:25:00,1,2024-04-30T09:20:00,London,895,kr. 1.200
2024-04-29,SWISS,1271,København,2024-04-29T15:10:00,1,2024-04-29T19:25:00,London,315,kr. 3.449
2024-04-29,Lufthansa,6265,København,2024-04-29T13:15:00,1,2024-04-29T17:00:00,London,285,kr. 3.817
2024-04-29,Lufthansa,2441,København,2024-04-29T12:50:00,1,2024-04-29T17:05:00,London,315,kr. 3.541
2024-04-29,Lufthansa,6225,København,2024-04-29T18:15:00,1,2024-04-29T22:10:00,London,295,kr. 3.787
2024-04-29,Eurowings,9247,København,2024-04-29T20:10:00,1,2024-04-30T07:25:00,London,735,kr. 1.606
2024-04-29,Eurowings,8227,København,2024-04-29T14:00:00,2,2024-04-29T19:05:00,London,365,kr. 3.340
